item_fat_content,item_identifier,item_type,outlet_establishment_year,outlet_identifier,outlet_location_type,outlet_size,outlet_type,item_visibility,item_weight,sales,rating
Regular,FDJ20,Fruits and Vegetables,2014,OUT013,Tier 3,Large,Supermarket Type1,0.10009158,20.70,125.5388,4
Regular,FDH46,Snack Foods,2014,OUT013,Tier 3,Large,Supermarket Type1,0.04124793,6.94,101.8332,4
Regular,FDM58,Snack Foods,2014,OUT013,Tier 3,Large,Supermarket Type1,0.07962409,16.85,111.6544,4
Regular,DRC36,Soft Drinks,2014,OUT013,Tier 3,Large,Supermarket Type1,0.00000000,13.00,173.6054,4
Regular,DRA24,Soft Drinks,2014,OUT013,Tier 3,Large,Supermarket Type1,0.03989501,19.35,162.4868,4
Regular,FDH47,Starchy Foods,2014,OUT013,Tier 3,Large,Supermarket Type1,0.12870901,13.50,96.1068,4
Low Fat,FDV47,Breads,2014,OUT013,Tier 3,Large,Supermarket Type1,0.05416244,17.10,85.3566,4
Regular,FDE35,Starchy Foods,2014,OUT013,Tier 3,Large,Supermarket Type1,0.04386387,7.06,59.5904,4
Low Fat,FDN01,Breakfast,2022,OUT018,Tier 3,Medium,Supermarket Type2,0.07269370,8.90,175.9370,4
Low Fat,NCD31,Household,2022,OUT018,Tier 3,Medium,Supermarket Type2,0.01549734,12.10,165.5526,4
Low Fat,DRE37,Soft Drinks,2022,OUT018,Tier 3,Medium,Supermarket Type2,0.09460340,13.50,187.0872,4
Low Fat,FDB60,Baking Goods,2022,OUT018,Tier 3,Medium,Supermarket Type2,0.02863828,9.30,195.8136,4
Low Fat,FDW48,Baking Goods,2022,OUT018,Tier 3,Medium,Supermarket Type2,0.00857562,18.00,80.2618,4
Low Fat,FDT59,Breads,2022,OUT018,Tier 3,Medium,Supermarket Type2,0.01597625,13.65,230.2668,4
Low Fat,FDX43,Fruits and Vegetables,2022,OUT018,Tier 3,Medium,Supermarket Type2,0.08562236,5.66,167.2500,4
Low Fat,FDY31,Fruits and Vegetables,2022,OUT018,Tier 3,Medium,Supermarket Type2,0.04374031,5.98,145.3418,4
Low Fat,FDV07,Fruits and Vegetables,2022,OUT018,Tier 3,Medium,Supermarket Type2,0.03141038,9.50,110.3228,4
Low Fat,FDU08,Fruits and Vegetables,2022,OUT018,Tier 3,Medium,Supermarket Type2,0.02742669,10.30,97.3042,4
Low Fat,FDC20,Fruits and Vegetables,2022,OUT018,Tier 3,Medium,Supermarket Type2,0.02406911,10.65,56.2272,4
Low Fat,FDH57,Fruits and Vegetables,2022,OUT018,Tier 3,Medium,Supermarket Type2,0.03589314,10.90,131.3284,4
Low Fat,FDX08,Fruits and Vegetables,2022,OUT018,Tier 3,Medium,Supermarket Type2,0.02269613,12.85,179.9318,4
Low Fat,FDY43,Fruits and Vegetables,2022,OUT018,Tier 3,Medium,Supermarket Type2,0.09880309,14.85,169.7474,4
Low Fat,FDL44,Fruits and Vegetables,2022,OUT018,Tier 3,Medium,Supermarket Type2,0.01232512,18.25,162.8894,4
Low Fat,FDP20,Fruits and Vegetables,2022,OUT018,Tier 3,Medium,Supermarket Type2,0.04585527,19.85,127.1020,4
Low Fat,FDE32,Fruits and Vegetables,2022,OUT018,Tier 3,Medium,Supermarket Type2,0.04895753,20.70,37.8506,4
Low Fat,NCN41,Health and Hygiene,2022,OUT018,Tier 3,Medium,Supermarket Type2,0.05242198,17.00,123.7730,4
Low Fat,NCZ18,Household,2022,OUT018,Tier 3,Medium,Supermarket Type2,0.18682582,7.83,253.5698,4
Low Fat,NCF30,Household,2022,OUT018,Tier 3,Medium,Supermarket Type2,0.12675832,17.00,124.5362,4
Low Fat,NCT06,Household,2022,OUT018,Tier 3,Medium,Supermarket Type2,0.00000000,17.10,167.0842,4
Low Fat,NCJ42,Household,2022,OUT018,Tier 3,Medium,Supermarket Type2,0.01435958,19.75,100.8332,4
Low Fat,FDV51,Meat,2022,OUT018,Tier 3,Medium,Supermarket Type2,0.03267145,16.35,165.4842,4
Low Fat,NCN55,Others,2022,OUT018,Tier 3,Medium,Supermarket Type2,0.05973284,14.60,241.2538,4
Low Fat,NCJ19,Others,2022,OUT018,Tier 3,Medium,Supermarket Type2,0.11866143,18.60,58.7588,4
Low Fat,FDL10,Snack Foods,2022,OUT018,Tier 3,Medium,Supermarket Type2,0.03965308,8.40,99.5042,4
Low Fat,FDT34,Snack Foods,2022,OUT018,Tier 3,Medium,Supermarket Type2,0.17506050,9.30,106.7964,4
Low Fat,FDK33,Snack Foods,2022,OUT018,Tier 3,Medium,Supermarket Type2,0.01128102,17.85,213.7560,4
Low Fat,DRI13,Soft Drinks,2022,OUT018,Tier 3,Medium,Supermarket Type2,0.02040977,15.35,218.3508,4
Regular,FDQ11,Breads,2022,OUT018,Tier 3,Medium,Supermarket Type2,0.06797671,5.70,257.4988,4
Regular,FDZ35,Breads,2022,OUT018,Tier 3,Medium,Supermarket Type2,0.02236923,9.60,104.7990,4
Regular,FDM01,Breakfast,2022,OUT018,Tier 3,Medium,Supermarket Type2,0.09495241,7.90,101.1332,4
Regular,FDN38,Canned,2022,OUT018,Tier 3,Medium,Supermarket Type2,0.09234651,6.62,251.8408,4
Regular,FDV13,Canned,2022,OUT018,Tier 3,Medium,Supermarket Type2,0.02772334,17.35,89.6856,4
Regular,FDV01,Canned,2022,OUT018,Tier 3,Medium,Supermarket Type2,0.08529663,19.20,153.4314,4
Regular,FDB38,Canned,2022,OUT018,Tier 3,Medium,Supermarket Type2,0.02745810,19.50,158.7920,4
Regular,FDW14,Dairy,2022,OUT018,Tier 3,Medium,Supermarket Type2,0.03836719,8.30,87.1198,4
Regular,FDB03,Dairy,2022,OUT018,Tier 3,Medium,Supermarket Type2,0.15747069,17.75,239.1538,4
Regular,FDT52,Frozen Foods,2022,OUT018,Tier 3,Medium,Supermarket Type2,0.04762279,9.70,246.2144,4
Regular,FDR44,Fruits and Vegetables,2022,OUT018,Tier 3,Medium,Supermarket Type2,0.10334014,6.11,131.2968,4
Regular,FDO56,Fruits and Vegetables,2022,OUT018,Tier 3,Medium,Supermarket Type2,0.04516580,10.20,118.4808,4
Regular,FDD21,Fruits and Vegetables,2022,OUT018,Tier 3,Medium,Supermarket Type2,0.03069376,10.30,114.2176,4
Regular,FDQ55,Fruits and Vegetables,2022,OUT018,Tier 3,Medium,Supermarket Type2,0.01309119,13.65,114.8834,4
Regular,FDY56,Fruits and Vegetables,2022,OUT018,Tier 3,Medium,Supermarket Type2,0.06266564,16.35,225.6062,4
Regular,FDZ57,Snack Foods,2022,OUT018,Tier 3,Medium,Supermarket Type2,0.03791814,10.00,129.6994,4
Regular,FDO21,Snack Foods,2022,OUT018,Tier 3,Medium,Supermarket Type2,0.00980279,11.60,223.0404,4
Regular,FDY22,Snack Foods,2022,OUT018,Tier 3,Medium,Supermarket Type2,0.16037131,16.50,143.9128,4
Low Fat,DRK11,Hard Drinks,2022,OUT018,Tier 3,Medium,Supermarket Type2,0.01080827,8.21,150.5392,4
Low Fat,NCC30,Household,2012,OUT049,Tier 1,Medium,Supermarket Type1,0.02762208,16.60,177.6344,4
Regular,FDZ37,Canned,2014,OUT013,Tier 3,Large,Supermarket Type1,0.00000000,8.10,88.5198,4
Regular,FDS31,Fruits and Vegetables,2014,OUT013,Tier 3,Large,Supermarket Type1,0.04415560,13.10,178.8318,4
Low Fat,FDV39,Meat,2015,OUT045,Tier 2,Small,Supermarket Type1,0.00729465,11.30,198.1426,4
Low Fat,DRF36,Soft Drinks,2015,OUT045,Tier 2,Small,Supermarket Type1,0.02362511,16.10,189.3846,4
Low Fat,FDK36,Baking Goods,2017,OUT035,Tier 2,Small,Supermarket Type1,0.00721395,7.09,47.9034,4
Low Fat,NCJ29,Health and Hygiene,2015,OUT045,Tier 2,Small,Supermarket Type1,0.03526430,10.60,86.1224,4
Regular,FDW07,Fruits and Vegetables,2015,OUT045,Tier 2,Small,Supermarket Type1,0.14297822,18.00,87.4514,4
Low Fat,NCR05,Health and Hygiene,2016,OUT046,Tier 1,Small,Supermarket Type1,0.05463083,10.10,200.2084,4
Low Fat,FDW28,Frozen Foods,2016,OUT046,Tier 1,Small,Supermarket Type1,0.00000000,18.25,196.8452,4
Low Fat,FDP32,Fruits and Vegetables,2017,OUT035,Tier 2,Small,Supermarket Type1,0.08765291,6.65,128.8678,4
Low Fat,FDU04,Frozen Foods,2022,OUT018,Tier 3,Medium,Supermarket Type2,0.00000000,7.93,123.2414,4
Regular,FDT01,Canned,2015,OUT045,Tier 2,Medium,Supermarket Type1,0.18454121,13.65,211.5902,4
Low Fat,NCR38,Household,2020,OUT017,Tier 2,Medium,Supermarket Type1,0.11416057,17.25,253.1724,4
Low Fat,FDF14,Canned,2012,OUT049,Tier 1,Medium,Supermarket Type1,0.02721206,7.55,152.7340,4
Regular,FDX57,Snack Foods,2011,OUT010,Tier 3,Medium,Grocery Store,0.07911395,17.25,99.2068,4
Low Fat,DRI39,Dairy,2011,OUT010,Tier 3,Medium,Grocery Store,0.16246204,13.80,55.8930,4
Low Fat,FDU11,Breads,2015,OUT045,Tier 2,Medium,Supermarket Type1,0.09278144,4.79,119.7098,4
Low Fat,NCP50,Others,2014,OUT013,Tier 3,Large,Supermarket Type1,0.02054274,17.35,80.5618,4
Regular,FDT10,Snack Foods,2016,OUT046,Tier 1,Small,Supermarket Type1,0.06204451,16.70,57.4562,4
Low Fat,FDX26,Dairy,2011,OUT010,Tier 3,Medium,Grocery Store,0.14697346,17.70,184.1292,4
Low Fat,FDY27,Dairy,2022,OUT018,Tier 3,Medium,Supermarket Type2,0.03202812,6.38,178.3344,4
Regular,FDL32,Fruits and Vegetables,2012,OUT049,Tier 1,Medium,Supermarket Type1,0.12265734,15.70,110.1544,4
Regular,FDR27,Meat,2020,OUT017,Tier 2,Medium,Supermarket Type1,0.09664402,15.10,131.9942,4
Regular,FDX39,Meat,2012,OUT049,Tier 1,Medium,Supermarket Type1,0.04975339,14.30,210.3586,4
Regular,FDF21,Fruits and Vegetables,2011,OUT010,Tier 3,Medium,Grocery Store,0.09846498,10.30,188.6530,4
Low Fat,FDU40,Frozen Foods,2014,OUT013,Tier 3,Large,Supermarket Type1,0.03737285,20.85,192.7478,4
Low Fat,DRL37,Soft Drinks,2017,OUT035,Tier 2,Small,Supermarket Type1,0.05336209,15.50,41.5770,4
Low Fat,FDB39,Dairy,2015,OUT045,Tier 2,Medium,Supermarket Type1,0.03859708,11.60,57.9272,4
Low Fat,FDU23,Breads,2012,OUT049,Tier 1,Medium,Supermarket Type1,0.02175727,12.15,165.0184,4
Low Fat,FDM28,Frozen Foods,2012,OUT049,Tier 1,Medium,Supermarket Type1,0.04527413,15.70,177.9660,4
Low Fat,FDU55,Fruits and Vegetables,2012,OUT049,Tier 1,Medium,Supermarket Type1,0.03596711,16.20,260.3278,4
Low Fat,DRQ35,Hard Drinks,2012,OUT049,Tier 1,Medium,Supermarket Type1,0.04235720,9.30,123.2388,4
Low Fat,NCL29,Health and Hygiene,2012,OUT049,Tier 1,Medium,Supermarket Type1,0.11411658,9.70,158.8604,4
Low Fat,NCC31,Household,2012,OUT049,Tier 1,Medium,Supermarket Type1,0.01990136,8.02,157.5972,4
Low Fat,NCG19,Household,2012,OUT049,Tier 1,Medium,Supermarket Type1,0.14816356,20.25,232.7616,4
Low Fat,NCO07,Others,2012,OUT049,Tier 1,Medium,Supermarket Type1,0.00979147,9.06,213.2560,4
Low Fat,FDQ58,Snack Foods,2012,OUT049,Tier 1,Medium,Supermarket Type1,0.01532563,7.32,153.4340,4
Low Fat,FDZ22,Snack Foods,2012,OUT049,Tier 1,Medium,Supermarket Type1,0.04534028,9.40,85.0250,4
Low Fat,FDC46,Snack Foods,2012,OUT049,Tier 1,Medium,Supermarket Type1,0.11672368,17.70,182.4266,4
Low Fat,DRZ24,Soft Drinks,2012,OUT049,Tier 1,Medium,Supermarket Type1,0.08191468,7.54,120.3440,4
Low Fat,DRD60,Soft Drinks,2012,OUT049,Tier 1,Medium,Supermarket Type1,0.03729000,15.70,182.7634,4
Regular,FDV60,Baking Goods,2012,OUT049,Tier 1,Medium,Supermarket Type1,0.11754371,20.20,197.3110,4
Regular,FDN23,Breads,2012,OUT049,Tier 1,Medium,Supermarket Type1,0.07562515,6.58,145.7444,4
Regular,FDR13,Canned,2012,OUT049,Tier 1,Medium,Supermarket Type1,0.02876549,9.90,115.3492,4
Regular,FDH14,Canned,2012,OUT049,Tier 1,Medium,Supermarket Type1,0.04688133,17.10,141.3838,4
Regular,FDY44,Fruits and Vegetables,2012,OUT049,Tier 1,Medium,Supermarket Type1,0.02444250,14.15,196.4110,4
Regular,FDF56,Fruits and Vegetables,2012,OUT049,Tier 1,Medium,Supermarket Type1,0.11964796,16.70,180.9976,4
Regular,FDG21,Seafood,2012,OUT049,Tier 1,Medium,Supermarket Type1,0.14652736,17.35,147.9050,4
Regular,FDV22,Snack Foods,2012,OUT049,Tier 1,Medium,Supermarket Type1,0.00995424,14.85,158.2630,4
Regular,FDX36,Baking Goods,2016,OUT046,Tier 1,Small,Supermarket Type1,0.12828324,9.70,226.1404,4
Regular,FDM57,Snack Foods,2016,OUT046,Tier 1,Small,Supermarket Type1,0.07584917,11.65,85.1908,4
Regular,FDJ34,Snack Foods,2016,OUT046,Tier 1,Small,Supermarket Type1,0.09365573,11.80,127.1704,4
Low Fat,FDD46,Snack Foods,2015,OUT045,Tier 2,Medium,Supermarket Type1,0.14154248,6.04,153.2018,4
Low Fat,DRF01,Soft Drinks,2020,OUT017,Tier 2,Medium,Supermarket Type1,0.17607054,5.66,144.0102,4
Low Fat,DRD27,Dairy,2015,OUT045,Tier 2,Medium,Supermarket Type1,0.00000000,18.75,97.9042,4
Low Fat,FDJ52,Frozen Foods,2015,OUT045,Tier 2,Medium,Supermarket Type1,0.01782294,7.15,161.3578,4
Low Fat,FDF16,Frozen Foods,2015,OUT045,Tier 2,Medium,Supermarket Type1,0.08630705,7.30,146.8076,4
Low Fat,NCN17,Health and Hygiene,2017,OUT035,Tier 2,Small,Supermarket Type1,0.05492864,11.00,101.7358,4
Low Fat,FDC32,Fruits and Vegetables,2015,OUT045,Tier 2,Medium,Supermarket Type1,0.09931000,18.35,91.4462,4
Low Fat,FDA44,Fruits and Vegetables,2015,OUT045,Tier 2,Medium,Supermarket Type1,0.05333065,19.70,56.7930,4
Low Fat,NCK06,Household,2015,OUT045,Tier 2,Small,Supermarket Type1,0.00866406,5.03,119.3756,4
Low Fat,NCB31,Household,2015,OUT045,Tier 2,Small,Supermarket Type1,0.11891503,6.24,264.7910,4
Low Fat,NCB30,Household,2015,OUT045,Tier 2,Small,Supermarket Type1,0.02575512,14.60,199.6084,4
Low Fat,NCZ54,Household,2015,OUT045,Tier 2,Small,Supermarket Type1,0.08352845,14.65,162.4552,4
Low Fat,NCF54,Household,2015,OUT045,Tier 2,Small,Supermarket Type1,0.04747314,18.00,170.5422,4
Low Fat,FDN15,Meat,2015,OUT045,Tier 2,Small,Supermarket Type1,0.01676800,17.50,141.4180,4
Low Fat,NCM26,Others,2015,OUT045,Tier 2,Small,Supermarket Type1,0.02319013,20.50,153.4340,4
Low Fat,FDK46,Snack Foods,2015,OUT045,Tier 2,Small,Supermarket Type1,0.05157177,9.60,258.4620,4
Low Fat,FDK22,Snack Foods,2015,OUT045,Tier 2,Small,Supermarket Type1,0.02613940,9.80,216.7850,4
Low Fat,FDA21,Snack Foods,2015,OUT045,Tier 2,Small,Supermarket Type1,0.03603364,13.65,183.7924,4
Low Fat,FDW45,Snack Foods,2015,OUT045,Tier 2,Small,Supermarket Type1,0.03909011,18.00,148.4418,4
Low Fat,FDN45,Snack Foods,2015,OUT045,Tier 2,Small,Supermarket Type1,0.11834229,19.35,222.6088,4
Low Fat,DRD25,Soft Drinks,2015,OUT045,Tier 2,Small,Supermarket Type1,0.07913221,6.14,112.6860,4
Low Fat,DRL60,Soft Drinks,2015,OUT045,Tier 2,Small,Supermarket Type1,0.02711424,8.52,151.9682,4
Low Fat,DRJ25,Soft Drinks,2015,OUT045,Tier 2,Small,Supermarket Type1,0.15087287,14.60,47.5692,4
Low Fat,DRH01,Soft Drinks,2015,OUT045,Tier 2,Small,Supermarket Type1,0.09810258,17.50,172.9738,4
Low Fat,FDR47,Breads,2020,OUT017,Tier 2,Small,Supermarket Type1,0.08796342,17.85,193.3794,4
Low Fat,FDS37,Canned,2020,OUT017,Tier 2,Small,Supermarket Type1,0.03212556,7.66,115.7492,4
Low Fat,FDB28,Dairy,2020,OUT017,Tier 2,Small,Supermarket Type1,0.09391361,6.62,198.7426,4
Low Fat,FDT02,Dairy,2020,OUT017,Tier 2,Small,Supermarket Type1,0.02433159,12.60,34.9874,4
Low Fat,FDO32,Fruits and Vegetables,2020,OUT017,Tier 2,Small,Supermarket Type1,0.12122546,6.36,45.9060,4
Low Fat,FDB21,Fruits and Vegetables,2020,OUT017,Tier 2,Small,Supermarket Type1,0.14936070,7.48,243.4854,4
Low Fat,NCS42,Household,2020,OUT017,Tier 2,Small,Supermarket Type1,0.06980912,8.60,90.5146,4
Low Fat,NCF30,Household,2020,OUT017,Tier 2,Large,Supermarket Type1,0.12695815,17.00,125.8362,4
Low Fat,NCP55,Others,2020,OUT017,Tier 2,Large,Supermarket Type1,0.01125332,14.65,57.0614,4
Low Fat,FDH33,Snack Foods,2020,OUT017,Tier 2,Large,Supermarket Type1,0.12241394,12.85,42.9428,4
Low Fat,FDF59,Starchy Foods,2020,OUT017,Tier 2,Large,Supermarket Type1,0.00000000,12.50,127.1020,4
Low Fat,FDF35,Starchy Foods,2020,OUT017,Tier 2,Large,Supermarket Type1,0.15486035,15.00,106.1938,4
Regular,FDX49,Canned,2015,OUT045,Tier 2,Large,Supermarket Type1,0.10203829,4.62,231.9300,4
Regular,FDV37,Canned,2015,OUT045,Tier 2,Large,Supermarket Type1,0.08368324,13.00,198.5426,4
Regular,FDZ02,Dairy,2015,OUT045,Tier 2,Large,Supermarket Type1,0.03822479,6.91,99.8726,4
Regular,FDN04,Frozen Foods,2015,OUT045,Tier 2,Large,Supermarket Type1,0.01411563,11.80,178.5344,4
Regular,FDH28,Frozen Foods,2015,OUT045,Tier 2,Large,Supermarket Type1,0.11025414,15.85,37.3506,4
Regular,FDB41,Frozen Foods,2015,OUT045,Tier 2,Large,Supermarket Type1,0.09751048,19.00,48.1718,4
Regular,FDR32,Fruits and Vegetables,2015,OUT045,Tier 2,Large,Supermarket Type1,0.08598198,6.78,228.4694,4
Regular,FDW27,Meat,2015,OUT045,Tier 2,Large,Supermarket Type1,0.15115924,5.86,156.6314,4
Regular,FDR34,Snack Foods,2015,OUT045,Tier 2,Large,Supermarket Type1,0.01599769,17.00,229.1352,4
Regular,FDE23,Starchy Foods,2015,OUT045,Tier 2,Large,Supermarket Type1,0.05328886,17.60,47.3060,4
Regular,FDM60,Baking Goods,2020,OUT017,Tier 2,Large,Supermarket Type1,0.00000000,10.80,40.7138,4
Regular,FDM36,Baking Goods,2020,OUT017,Tier 2,Large,Supermarket Type1,0.05906304,11.65,172.0422,4
Regular,FDA25,Canned,2020,OUT017,Tier 2,Large,Supermarket Type1,0.06851110,16.50,103.6990,4
Regular,FDQ40,Frozen Foods,2020,OUT017,Tier 2,Large,Supermarket Type1,0.03623131,11.10,175.0712,4
Regular,FDN16,Frozen Foods,2020,OUT017,Tier 2,Large,Supermarket Type1,0.06305495,12.60,102.3990,4
Regular,FDR28,Frozen Foods,2020,OUT017,Tier 2,Large,Supermarket Type1,0.02604297,13.85,161.2210,4
Regular,FDU44,Fruits and Vegetables,2020,OUT017,Tier 2,Medium,Supermarket Type1,0.05875621,12.15,161.0552,4
Regular,FDD56,Fruits and Vegetables,2020,OUT017,Tier 2,Medium,Supermarket Type1,0.10436528,15.20,177.1054,4
Regular,FDS32,Fruits and Vegetables,2020,OUT017,Tier 2,Medium,Supermarket Type1,0.02982165,17.75,139.9838,4
Regular,FDI08,Fruits and Vegetables,2020,OUT017,Tier 2,Medium,Supermarket Type1,0.06667206,18.20,248.1092,4
Regular,FDJ21,Snack Foods,2020,OUT017,Tier 2,Medium,Supermarket Type1,0.03874616,16.70,143.8102,4
Regular,FDX57,Snack Foods,2020,OUT017,Tier 2,Medium,Supermarket Type1,0.04753357,17.25,96.9068,4
Regular,DRC36,Soft Drinks,2020,OUT017,Tier 2,Medium,Supermarket Type1,0.04523933,13.00,174.1054,4
Low Fat,FDN24,Baking Goods,2020,OUT017,Tier 2,Medium,Supermarket Type1,0.11390812,14.10,53.3956,4
Low Fat,FDJ48,Baking Goods,2017,OUT035,Tier 2,Small,Supermarket Type1,0.05642415,11.30,247.8118,4
Low Fat,FDN48,Baking Goods,2017,OUT035,Tier 2,Small,Supermarket Type1,0.06493845,13.35,90.0804,4
Low Fat,FDW48,Baking Goods,2017,OUT035,Tier 2,Small,Supermarket Type1,0.00853921,18.00,81.2618,4
Low Fat,FDO37,Breakfast,2017,OUT035,Tier 2,Small,Supermarket Type1,0.02137264,8.06,231.7326,4
Low Fat,FDS14,Dairy,2017,OUT035,Tier 2,Small,Supermarket Type1,0.04995444,7.29,156.5288,4
Low Fat,FDU14,Dairy,2017,OUT035,Tier 2,Small,Supermarket Type1,0.03474608,17.75,248.2750,4
Low Fat,FDX28,Frozen Foods,2017,OUT035,Tier 2,Small,Supermarket Type1,0.12515445,6.33,99.2042,4
Low Fat,FDD45,Fruits and Vegetables,2017,OUT035,Tier 2,Small,Supermarket Type1,0.11622698,8.62,95.9436,4
Low Fat,FDU32,Fruits and Vegetables,2017,OUT035,Tier 2,Small,Supermarket Type1,0.02596271,8.79,120.9414,4
Low Fat,FDI32,Fruits and Vegetables,2017,OUT035,Tier 2,Small,Supermarket Type1,0.17434048,17.70,116.6834,4
Low Fat,NCZ05,Health and Hygiene,2017,OUT035,Tier 2,Small,Supermarket Type1,0.05812121,8.49,104.4990,4
Low Fat,NCJ54,Household,2017,OUT035,Tier 2,Small,Supermarket Type1,0.06005576,9.90,234.2642,4
Low Fat,NCP54,Household,2017,OUT035,Tier 2,Small,Supermarket Type1,0.03514302,15.35,124.3730,4
Low Fat,NCE42,Household,2017,OUT035,Tier 2,Small,Supermarket Type1,0.01060029,21.10,233.9958,4
Low Fat,FDK27,Meat,2017,OUT035,Tier 2,Small,Supermarket Type1,0.00894484,11.00,122.3756,4
Low Fat,FDM03,Meat,2017,OUT035,Tier 2,Small,Supermarket Type1,0.12300753,12.65,106.0938,4
Low Fat,FDT03,Meat,2017,OUT035,Tier 2,Small,Supermarket Type1,0.00999687,21.25,185.5608,4
Low Fat,NCO02,Others,2017,OUT035,Tier 2,Small,Supermarket Type1,0.07335429,11.15,66.8142,4
Low Fat,DRG37,Soft Drinks,2017,OUT035,Tier 2,Small,Supermarket Type1,0.01937477,16.20,155.8972,4
Low Fat,FDD35,Starchy Foods,2017,OUT035,Tier 2,Small,Supermarket Type1,0.00000000,12.15,119.2440,4
Low Fat,FDE59,Starchy Foods,2017,OUT035,Tier 2,Small,Supermarket Type1,0.06227604,12.15,37.9532,4
Low Fat,FDI35,Starchy Foods,2017,OUT035,Tier 2,Small,Supermarket Type1,0.04128336,14.00,182.4634,4
Regular,FDV11,Breads,2017,OUT035,Tier 2,Small,Supermarket Type1,0.08165235,9.10,177.0054,4
Regular,FDM02,Canned,2017,OUT035,Tier 2,Small,Supermarket Type1,0.07372112,12.50,85.6198,4
Regular,FDQ01,Canned,2017,OUT035,Tier 2,Small,Supermarket Type1,0.16067126,19.70,254.7014,4
Regular,FDA52,Frozen Foods,2017,OUT035,Tier 2,Small,Supermarket Type1,0.12839800,16.20,178.3370,4
Regular,FDE17,Frozen Foods,2017,OUT035,Tier 2,Small,Supermarket Type1,0.05444520,20.10,151.7366,4
Regular,FDN56,Fruits and Vegetables,2017,OUT035,Tier 2,Small,Supermarket Type1,0.10703694,5.46,144.2786,4
Regular,FDZ08,Fruits and Vegetables,2017,OUT035,Tier 2,Small,Supermarket Type1,0.10997158,12.50,82.7592,4
Regular,FDQ55,Fruits and Vegetables,2017,OUT035,Tier 2,Small,Supermarket Type1,0.01303561,13.65,114.7834,4
Regular,FDX32,Fruits and Vegetables,2017,OUT035,Tier 2,Small,Supermarket Type1,0.09983937,15.10,143.3786,4
Regular,FDZ31,Fruits and Vegetables,2017,OUT035,Tier 2,Small,Supermarket Type1,0.11319582,15.35,190.8504,4
Regular,FDY33,Snack Foods,2017,OUT035,Tier 2,Small,Supermarket Type1,0.00000000,14.50,159.3262,4
Low Fat,FDP57,Snack Foods,2017,OUT035,Tier 2,Small,Supermarket Type1,0.05243420,17.50,103.9990,4
Low Fat,DRF37,Soft Drinks,2017,OUT035,Tier 2,Small,Supermarket Type1,0.08431669,17.25,263.3910,4
Low Fat,FDP38,Canned,2011,OUT010,Tier 3,Medium,Grocery Store,0.05373232,10.10,49.8008,4
Low Fat,FDB27,Dairy,2011,OUT010,Tier 3,Medium,Grocery Store,0.09271171,7.58,197.7768,4
Low Fat,FDQ04,Frozen Foods,2011,OUT010,Tier 3,Medium,Grocery Store,0.14186016,6.40,41.0796,4
Low Fat,FDD57,Fruits and Vegetables,2011,OUT010,Tier 3,Medium,Grocery Store,0.03749233,18.10,95.5094,4
Low Fat,NCY41,Health and Hygiene,2011,OUT010,Tier 3,Medium,Grocery Store,0.12676590,16.75,35.7532,4
Low Fat,NCK06,Household,2011,OUT010,Tier 3,Medium,Grocery Store,0.01447252,5.03,122.0756,4
Low Fat,FDR09,Snack Foods,2011,OUT010,Tier 3,Large,Grocery Store,0.13009504,18.25,257.2962,4
Low Fat,DRJ01,Soft Drinks,2011,OUT010,Tier 3,Large,Grocery Store,0.19254067,6.14,160.2236,4
Low Fat,DRE49,Soft Drinks,2011,OUT010,Tier 3,Large,Grocery Store,0.03556815,20.75,151.8024,4
Regular,FDM51,Meat,2011,OUT010,Tier 3,Large,Grocery Store,0.00000000,11.80,102.4674,4
Regular,FDX03,Meat,2011,OUT010,Tier 3,Large,Grocery Store,0.10226214,15.85,47.1744,4
Regular,FDN39,Meat,2011,OUT010,Tier 3,Large,Grocery Store,0.10966770,19.35,166.0816,4
Regular,FDZ21,Snack Foods,2011,OUT010,Tier 3,Small,Grocery Store,0.06564935,17.60,94.8410,4
Low Fat,NCV29,Health and Hygiene,2014,OUT013,Tier 3,Large,Supermarket Type1,0.02282449,11.80,177.0686,4
Low Fat,FDX60,Baking Goods,2014,OUT013,Tier 3,Large,Supermarket Type1,0.08052707,14.35,79.2960,4
Low Fat,FDU13,Canned,2014,OUT013,Tier 3,Large,Supermarket Type1,0.00000000,8.36,145.6418,4
Low Fat,FDZ38,Dairy,2014,OUT013,Tier 3,Large,Supermarket Type1,0.00799436,17.60,171.6422,4
Low Fat,FDB17,Frozen Foods,2014,OUT013,Tier 3,Large,Supermarket Type1,0.03664159,13.15,180.7976,4
Low Fat,FDI56,Fruits and Vegetables,2014,OUT013,Tier 3,Large,Supermarket Type1,0.09330767,7.33,92.7146,4
Low Fat,FDQ44,Fruits and Vegetables,2014,OUT013,Tier 3,Large,Supermarket Type1,0.03611022,20.50,120.1756,4
Low Fat,DRG11,Hard Drinks,2014,OUT013,Tier 3,Large,Supermarket Type1,0.08376852,6.39,109.8596,4
Low Fat,NCZ05,Health and Hygiene,2014,OUT013,Tier 3,Large,Supermarket Type1,0.05808383,8.49,103.1990,4
Low Fat,NCK17,Health and Hygiene,2014,OUT013,Tier 3,Large,Supermarket Type1,0.03786331,11.00,40.9480,4
Low Fat,NCK53,Health and Hygiene,2014,OUT013,Tier 3,Large,Supermarket Type1,0.03754997,11.60,101.2042,4
Low Fat,NCP02,Household,2014,OUT013,Tier 3,Large,Supermarket Type1,0.04477147,7.11,58.2562,4
